Dataset Intensity Statistics Report
Source: /data/hwh_data_folder/dataset/train
Config: FreqRes=5kHz, Overlap=0.5
--------------------------------------------------
File_ID    | Min_dB          | Max_dB         
--------------------------------------------------
0          | -107.88         | 7.45           
1          | -110.31         | 5.53           
2          | -95.91          | 3.84           
3          | -105.06         | 11.25          
4          | -103.92         | 2.27           
5          | -99.92          | -13.82         
6          | -112.76         | -2.15          
7          | -97.06          | 7.69           
8          | -73.37          | 18.02          
9          | -102.25         | 8.97           
10         | -121.39         | 4.30           
11         | -112.78         | 5.20           
12         | -116.39         | 6.80           
13         | -123.39         | -2.69          
14         | -93.21          | 6.72           
15         | -101.16         | 3.58           
16         | -130.10         | 2.61           
17         | -103.79         | -10.44         
18         | -94.41          | 2.54           
19         | -103.18         | 4.90           
20         | -101.18         | 11.34          
21         | -110.16         | -2.00          
22         | -115.17         | 14.44          
23         | -89.14          | 12.48          
24         | -101.35         | 11.53          
25         | -107.20         | 1.97           
26         | -100.03         | 5.63           
27         | -91.55          | 11.91          
28         | -114.27         | -3.48          
29         | -128.91         | -6.69          
30         | -75.34          | 14.45          
31         | -114.50         | -0.03          
32         | -85.74          | 23.78          
33         | -115.73         | 8.61           
34         | -138.81         | 2.19           
35         | -130.55         | -5.79          
36         | -93.94          | 23.06          
37         | -113.38         | -4.37          
38         | -123.95         | -0.03          
39         | -115.97         | 7.57           
40         | -117.66         | 3.70           
41         | -107.63         | 14.03          
42         | -87.07          | 5.55           
43         | -106.07         | 5.75           
44         | -110.95         | 1.30           
45         | -108.00         | 4.04           
46         | -113.27         | 1.14           
47         | -97.75          | -2.92          
48         | -110.71         | 8.31           
49         | -96.47          | 10.73          
50         | -107.79         | 8.17           
51         | -113.60         | -0.84          
52         | -109.20         | 14.74          
53         | -116.47         | 6.12           
54         | -117.66         | 7.62           
55         | -95.35          | 13.12          
56         | -90.25          | 6.48           
57         | -81.67          | 17.06          
58         | -110.59         | -20.88         
59         | -109.43         | 0.23           
60         | -105.47         | 1.62           
61         | -81.81          | 16.27          
62         | -103.40         | 1.36           
63         | -101.52         | 8.34           
64         | -137.57         | -0.90          
65         | -93.88          | 6.77           
66         | -99.89          | 1.78           
67         | -117.57         | -6.93          
68         | -116.33         | 0.89           
69         | -81.25          | 22.92          
70         | -83.38          | 25.74          
71         | -82.46          | 26.04          
72         | -113.90         | 5.42           
73         | -74.16          | 26.57          
74         | -101.10         | 1.74           
75         | -117.30         | 3.83           
76         | -88.81          | 13.32          
77         | -76.23          | 30.25          
78         | -121.52         | -6.76          
79         | -99.50          | 12.55          
