Dataset Intensity Statistics Report
Source: E:\huangwenhao\dataset\train
Config: FreqRes=20kHz, Overlap=0.5
--------------------------------------------------
File_ID    | Min_dB          | Max_dB         
--------------------------------------------------
0          | -110.89         | 13.59          
1          | -116.41         | 9.46           
2          | -93.99          | 5.75           
3          | -101.50         | 17.11          
4          | -102.75         | 7.88           
5          | -97.90          | -7.22          
6          | -108.01         | 2.63           
7          | -101.23         | 13.53          
8          | -67.20          | 24.63          
9          | -90.21          | 16.03          
10         | -127.65         | 5.36           
11         | -111.02         | 12.48          
12         | -120.33         | 6.95           
13         | -111.28         | 2.85           
14         | -79.63          | 11.35          
15         | -99.87          | 8.66           
16         | -127.85         | 2.52           
17         | -90.70          | -4.10          
18         | -81.44          | 5.16           
19         | -102.13         | 11.68          
20         | -94.12          | 18.01          
21         | -106.81         | -1.02          
22         | -84.93          | 21.39          
23         | -73.20          | 15.81          
24         | -89.86          | 11.60          
25         | -102.11         | 2.06           
26         | -85.37          | 12.72          
27         | -107.89         | 15.03          
28         | -92.32          | 0.29           
29         | -114.74         | -1.25          
30         | -66.69          | 21.27          
31         | -86.23          | 6.36           
32         | -72.74          | 26.38          
33         | -102.92         | 9.09           
34         | -114.06         | 2.28           
35         | -128.05         | -2.58          
36         | -86.73          | 22.91          
37         | -110.71         | 0.41           
38         | -108.04         | 3.25           
39         | -110.07         | 11.51          
40         | -113.72         | 5.88           
41         | -107.27         | 14.16          
42         | -85.23          | 9.06           
43         | -100.81         | 6.93           
44         | -111.70         | 7.53           
45         | -105.94         | 8.14           
46         | -111.97         | 1.24           
47         | -89.01          | 3.13           
48         | -109.62         | 8.45           
49         | -100.53         | 11.01          
50         | -106.59         | 9.25           
51         | -107.56         | 3.54           
52         | -93.09          | 20.21          
53         | -124.22         | 17.90          
54         | -99.53          | 12.72          
55         | -85.45          | 21.54          
56         | -92.91          | 9.64           
57         | -72.39          | 22.08          
58         | -101.00         | -14.06         
59         | -101.81         | 7.13           
60         | -94.62          | 4.16           
61         | -69.16          | 23.20          
62         | -99.27          | 11.97          
63         | -98.03          | 8.81           
64         | -123.12         | 2.45           
65         | -85.44          | 13.11          
66         | -102.41         | 2.09           
67         | -115.06         | 1.42           
68         | -118.17         | 1.05           
69         | -73.99          | 25.68          
70         | -74.36          | 31.93          
71         | -70.68          | 32.75          
72         | -116.73         | 12.39          
73         | -66.66          | 33.19          
74         | -97.63          | 6.14           
75         | -94.99          | 4.50           
76         | -86.91          | 14.86          
77         | -76.07          | 32.41          
78         | -103.23         | -2.48          
79         | -101.56         | 12.34          
80         | -116.18         | 11.59          
81         | -66.35          | 25.77          
82         | -101.68         | 9.81           
83         | -96.77          | 5.05           
84         | -90.58          | -5.22          
85         | -82.05          | 21.58          
86         | -95.41          | 7.15           
87         | -68.90          | 16.56          
88         | -240.00         | 16.82          
89         | -97.19          | 14.71          
90         | -94.84          | 9.32           
91         | -97.19          | 18.53          
92         | -99.92          | 20.51          
93         | -67.07          | 21.11          
94         | -75.47          | 12.82          
95         | -94.83          | 22.35          
96         | -90.69          | 5.35           
97         | -91.49          | 8.04           
98         | -99.23          | 12.43          
99         | -92.72          | 3.57           
100        | -95.06          | 5.79           
101        | -240.00         | 5.59           
102        | -102.47         | 3.83           
103        | -95.73          | 14.58          
104        | -106.11         | 5.11           
105        | -128.33         | -1.70          
106        | -102.91         | 2.32           
